File,Column,System / File Purpose,Likely Link Target / Use,Example Values,Confidence
MobKillLog.shn,MobID,monster kill rules/logging/requirements,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Numeric identifier used as a foreign key or lookup key.,7000 | 8048 | 8049,High
MobLifeTime.shn,MobIndex,monster lifetime/despawn timing,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,GTI_AngryWolf | GTI_WereBear | GTI_KingSpider,High
MobNoFadeIn.shn,MobInx,monster No Fade In data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,BallSnow | BallCrush | SlowShot_arrow,High
MobRegenAni.shn,MobIDX,monster respawn animation data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,S_FreloanLeg | E_XSnowman | E_XSnowmanBig,High
MobRegenAni.shn,GroupAbStateIDX,monster respawn animation data/configuration,Links to AbState buff/debuff definitions. Often groups multiple rows together under one table-specific group key.,- | - | -,High
MobResist.shn,InxName,monster Resist data/configuration,"String key used by other SHN rows, scripts, or server code.",NormalUndead | NormalHuman | NormalBeast,High
MobSpecies.shn,ID,monster species/family definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
MobSpecies.shn,MobName,monster species/family definitions,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,Slime | MushRoom | Imp,High
MobWeapon.shn,ID,monster Weapon data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
MobWeapon.shn,InxName,monster Weapon data/configuration,"String key used by other SHN rows, scripts, or server code.",Slime | MushRoom | Imp,High
MobWeapon.shn,Skill,monster Weapon data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,- | - | -,High
MoverItem.shn,ItemIDX,Mover Item data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,M_Sidecar01 | M_Sidecar01_1 | M_Sidecar01_2,High
MoverMain.shn,MoverID,Mover Main data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
MoverUpgradeEffect.shn,AbStateIDX,Mover Upgrade Effect data/configuration,Links to AbState buff/debuff definitions.,- | - | -,High
MoverUseSkill.shn,ActiveSkillIDX,skill definitions and behavior,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,,High
MultiHitType.shn,ID,Multi Hit Type data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 1 | 2,High
MysteryVaultServer.shn,MV_GroupItemInx,Mystery Vault Server data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Often groups multiple rows together under one table-specific group key.,MVault_01 | MVault_01 | MVault_01,High
MysteryVaultServer.shn,ItemInx,Mystery Vault Server data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,MVault_02 | AngelWing09_4 | ThunderLongSword,High
MysteryVaultServer.shn,Group,Mystery Vault Server data/configuration,Often groups multiple rows together under one table-specific group key.,0 | 0 | 0,Medium
NpcSchedule.shn,Mob_Inx,NPC definitions and behavior,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,,High
PSkillSetAbstate.shn,PS_InxName,skill definitions and behavior,"String key used by other SHN rows, scripts, or server code.",MagicDance01 | MagicDance02 | MagicDance03,Medium
PSkillSetAbstate.shn,PS_AbStateInx,skill definitions and behavior,Links to AbState buff/debuff definitions.,StaMagicDanceUseSPDown01 | StaMagicDanceUseSPDown02 | StaMagicDanceUseSPDown03,High
PassiveSkill.shn,ID,passive skill definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
PassiveSkill.shn,InxName,passive skill definitions,"String key used by other SHN rows, scripts, or server code.",BraveMastery01 | BraveMastery02 | BraveMastery03,High
PassiveSkill.shn,ActiveSkillGroupInx,passive skill definitions,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data. Often groups multiple rows together under one table-specific group key.,0 | 0 | 0,High
Produce.shn,ProductID,Produce data/configuration,Numeric identifier used as a foreign key or lookup key.,20000 | 20001 | 20002,Medium
PupCaseDesc.shn,ActionEffectID,Pup Case description data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1145 | 1145,Medium
PupMain.shn,PupID,Pup Main data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
PupMain.shn,ItemIDX,Pup Main data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,P_Slime | P_Honeying | P_Kebing,High
QuestDialog.shn,ID,quest data and quest relationships,Numeric identifier used as a foreign key or lookup key.,0 | 200 | 201,High
QuestScript.shn,ID,quest data and quest relationships,Numeric identifier used as a foreign key or lookup key.,1 | 101 | 2,High
QuestSpecies.shn,ID,quest data and quest relationships,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
QuestSpecies.shn,MobGroupName,quest data and quest relationships,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Often groups multiple rows together under one table-specific group key.,Slime | MushRoom | Imp,High
RaceNameInfo.shn,RaceID,Race Name Info data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,Medium
RandomOption.shn,DropItemIndex,random item option/stat rolls,Links to item tables such as ItemInfo / ItemInfoServer. Links to drop/loot tables or drop group rows.,RandomNamedW01 | RandomNamedW01 | RandomNamedW01,High
RandomOption.shn,TypeDropRate,random item option/stat rolls,Links to drop/loot tables or drop group rows.,1000 | 1000 | 1000,High
RandomOptionCount.shn,InxName,random item option/stat rolls,"String key used by other SHN rows, scripts, or server code.",RandomNamedW01 | RandomNamedW01 | RandomNamedW01,High
RandomOptionCount.shn,LimitDropRate,random item option/stat rolls,Links to drop/loot tables or drop group rows.,400 | 300 | 300,High
RareMoverEachRate.shn,RMER_ItemIDX,Rare Mover Each Rate data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,M_RUnicorn01,High
ReactionType.shn,MobInx,action/combat/interaction data,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,LC_Machine,High
Riding.shn,ItemID,Riding data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,Coll | Claude,High
SetEffect.shn,SetItemIndex,Set Effect data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,AssimilationSet | AssimilationSet | AssimilationSet,High
SetEffect.shn,ItemActionID,Set Effect data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,77 | 34 | 115,High
SetItem.shn,Index,Set Item data/configuration,Numeric identifier used as a foreign key or lookup key.,BoneAttackSet | WinSet | PowerSet,High
SetItemEffect.shn,SkillGroup,Set Item Effect data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data. Often groups multiple rows together under one table-specific group key.,SeverBone | Heal | PowerShot,High
SetItemEffect.shn,Index,Set Item Effect data/configuration,Numeric identifier used as a foreign key or lookup key.,4 | 5 | 2,High
StateField.shn,AbStateInx,State Field data/configuration,Links to AbState buff/debuff definitions.,StaCrackerACDownRate | StaCrackerWCDownRate | StaCrackerDisease,High
StateField.shn,MapName,State Field data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",B_Cracker | B_Cracker | B_Cracker,High
StateItem.shn,ItemIDX,State Item data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,E_HwinCandy | E_HwinCandy | E_HwinCandy,High
StateItem.shn,AbStateInx,State Item data/configuration,Links to AbState buff/debuff definitions.,StaE_Slime | StaE_Honeying | StaE_Phino,High
StateMob.shn,TargetMobInx,State monster data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,B_CrackerHumar | B_CrackerHumar | BH_Humar,High
StateMob.shn,ConditionMobInx,State monster data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,B_CrackerGuardian | B_CrackerLooter | BH_Looter,High
StateMob.shn,AbStateInx,State monster data/configuration,Links to AbState buff/debuff definitions.,StaCrackerWCUpRate | StaCrackerACUpRate | StaCrackerWCUpRate,High
SubAbState.shn,ID,buff/debuff/abnormal state definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
SubAbState.shn,InxName,buff/debuff/abnormal state definitions,"String key used by other SHN rows, scripts, or server code.",SubStaSeverBone | SubStaSeverBone | SubStaSeverBone,High
TermExtendMatch.shn,ExtendItemIDX,Term Extend Match data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,TE_Arena_70 | TE_Arena_70 | TE_Arena_70,High
TermExtendMatch.shn,TermItemIDX,Term Extend Match data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,Arena_F70Sword | Arena_F70TSword | Arena_F70Axe,High
ToggleSkill.shn,TS_SkillInx,skill definitions and behavior,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data.,BurnPain01 | BurnPain02 | BurnPain03,High
TownPortal.shn,Index,Town Portal data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
TownPortal.shn,TP_GroupNo,Town Portal data/configuration,Often groups multiple rows together under one table-specific group key.,0 | 0 | 0,Medium
TownPortal.shn,MapName,Town Portal data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",RouN | RouVal01 | Eld,High
UpgradeInfo.shn,ID,Upgrade Info data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
UpgradeInfo.shn,InxName,Upgrade Info data/configuration,"String key used by other SHN rows, scripts, or server code.",Grp1ACAmr | Grp2ACAmr | Grp3ACAmr,High
View/AbStateView.shn,ID,buff/debuff/abnormal state definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
View/AbStateView.shn,inxName,buff/debuff/abnormal state definitions,"String key used by other SHN rows, scripts, or server code.",StaSeverBone | StaRedSlash | StaBattleBlowStun,High
View/ActionViewInfo.shn,InxName,visual/display data for actions,"String key used by other SHN rows, scripts, or server code.",attack | looting | trade,High
View/ActiveSkillView.shn,ID,active skill definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
View/ActiveSkillView.shn,InxName,active skill definitions,"String key used by other SHN rows, scripts, or server code.",TripleHit01 | TripleHit02 | TripleHit03,High
View/ActiveSkillView.shn,HideHandItem,active skill definitions,Links to item tables such as ItemInfo / ItemInfoServer.,0 | 0 | 0,High
View/CollectCardView.shn,CC_CardID,collectable card system,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,Medium
View/CollectCardView.shn,CC_MobInx,collectable card system,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,KQ_K_G_Slime | Honeying | Mara,High
View/EffectViewInfo.shn,ID,Effect View Info data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
View/GTIView.shn,ID,GTIView data/configuration,Numeric identifier used as a foreign key or lookup key.,1 | 2 | 3,High
View/GTIView.shn,InxName,GTIView data/configuration,"String key used by other SHN rows, scripts, or server code.",GTI_Bless | GTI_Speed | GTI_Protect,High
View/ItemViewDummy.shn,InxName,Item View Dummy data/configuration,"String key used by other SHN rows, scripts, or server code.",HidePants | HidePants | HideArmor,High
View/ItemViewInfo.shn,ID,Item View Info data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
View/ItemViewInfo.shn,InxName,Item View Info data/configuration,"String key used by other SHN rows, scripts, or server code.",LeatherBoots | LeatherHelmet | LeatherPants,High
View/ItemViewInfo.shn,GrnItemSize,Item View Info data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,0.5 | 0.5 | 0.5,High
View/ItemViewInfo.shn,GrnItemTex,Item View Info data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,GrdFigShoes | GrdFigHat | GrdFigLeg,High
View/ItemViewInfo.shn,DropSnd,Item View Info data/configuration,Links to drop/loot tables or drop group rows.,SFX_ItemPutAmor | SFX_ItemPutAmor | SFX_ItemPutAmor,Medium
View/MapViewInfo.shn,ID,Map View Info data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
View/MapViewInfo.shn,MapName,Map View Info data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",Rou | RouCos01 | RouCos02,High
View/MapViewInfo.shn,MiniMapScale,Map View Info data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0.5 | 1.0 | 1.0,High
View/MapViewInfo.shn,KingdomMap,Map View Info data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 0 | 0,High
View/MapViewInfo.shn,MapFolderName,Map View Info data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",Rou | RouCos01 | RouCos02,High
View/MapViewInfo.shn,MinimapView,Map View Info data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",1 | 1 | 1,High
View/MapViewInfo.shn,WorldMapView,Map View Info data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",1 | 1 | 1,High
View/MapViewInfo.shn,MiniMapSort,Map View Info data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 2 | 3,High
View/MobConditionView.shn,MobInx,monster Condition View data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,WarL_Pore | WarL_Pore | WarL_Pore,High
View/MobViewInfo.shn,ID,monster View Info data/configuration,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
View/MobViewInfo.shn,InxName,monster View Info data/configuration,"String key used by other SHN rows, scripts, or server code.",Slime | MushRoom | Imp,High
View/MobViewInfo.shn,MobPortrait,monster View Info data/configuration,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,Slime | MushRoom | Imp,High
View/MobViewInfo.shn,MiniMapIcon,monster View Info data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",0 | 0 | 0,High
View/MobViewInfo.shn,NpcViewIndex,monster View Info data/configuration,Links to NPC tables or NPC script/action data.,0 | 0 | 0,High
View/MobViewInfo.shn,EffectViewID,monster View Info data/configuration,Numeric identifier used as a foreign key or lookup key.,7 | 7 | 7,Medium
View/MobViewInfo.shn,Group1,monster View Info data/configuration,Often groups multiple rows together under one table-specific group key.,- | - | -,Medium
View/MobViewInfo.shn,Group2,monster View Info data/configuration,Often groups multiple rows together under one table-specific group key.,- | - | -,Medium
View/MobViewInfo.shn,Group3,monster View Info data/configuration,Often groups multiple rows together under one table-specific group key.,- | - | -,Medium
View/MobViewInfo.shn,GroupS,monster View Info data/configuration,Often groups multiple rows together under one table-specific group key.,- | - | -,Medium
View/PassiveSkillView.shn,ID,passive skill definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
View/PassiveSkillView.shn,InxName,passive skill definitions,"String key used by other SHN rows, scripts, or server code.",BraveMastery01 | BraveMastery02 | BraveMastery03,High
View/ProduceView.shn,ID,Produce View data/configuration,Numeric identifier used as a foreign key or lookup key.,29100 | 29101 | 29102,High
View/ProduceView.shn,InxName,Produce View data/configuration,"String key used by other SHN rows, scripts, or server code.",ProducePotion | ProduceSton | ProduceScroll,High
View/SetItemView.shn,Index,Set Item View data/configuration,Numeric identifier used as a foreign key or lookup key.,BoneAttackSet | WinSet | PowerSet,High
WeaponTitleData.shn,MobID,title/achievement data,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies. Numeric identifier used as a foreign key or lookup key.,2 | 2 | 2,High
WeaponTitleData.shn,MobKillCount,title/achievement data,Links to monster tables such as MobInfo / MobInfoServer / MobSpecies.,3 | 6 | 9,High
DefaultCharacterData.txt,Start Map name,Default Character Data data/configuration,"Links to map/zone tables such as MapInfo, MapLinkPoint, or MapWayPoint.",,High
DefaultCharacterData.txt,Item ID,Default Character Data data/configuration,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,,High
DefaultCharacterData.txt,Item Lot,Default Character Data data/configuration,Links to item tables such as ItemInfo / ItemInfoServer.,,High
DefaultCharacterData.txt,Skill ID,Default Character Data data/configuration,Links to skill tables such as ActiveSkill / PassiveSkill / Skill data. Numeric identifier used as a foreign key or lookup key.,,High
DefaultCharacterData.txt,Quest ID,Default Character Data data/configuration,Links to quest tables; QuestData.shn was skipped by request. Numeric identifier used as a foreign key or lookup key.,,High
MobRegen/Adl.txt,GroupIndex,Adl data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/AdlThorn01.txt,GroupIndex,Adl Thorn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/AdlVal01.txt,GroupIndex,Adl Val 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/AlDn01.txt,GroupIndex,Al Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/AlDn02.txt,GroupIndex,Al Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/ArkDn01.txt,GroupIndex,Ark Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/ArkDn02.txt,GroupIndex,Ark Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/BH_Albi.txt,GroupIndex,BH Albi data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/BH_Cracker.txt,GroupIndex,BH Cracker data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/BH_Helga.txt,GroupIndex,BH Helga data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/B_Albi.txt,GroupIndex,B Albi data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/B_Cracker.txt,GroupIndex,B Cracker data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/BerFrz01.txt,GroupIndex,Ber Frz 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/BerKal01.txt,GroupIndex,Ber Kal 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/BerVale01.txt,GroupIndex,Ber Vale 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Bera.txt,GroupIndex,Bera data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/CemDn01.txt,GroupIndex,Cem Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/CemDn02.txt,GroupIndex,Cem Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/E_Hwin.txt,GroupIndex,E Hwin data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/E_Olympic.txt,GroupIndex,E Olympic data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EchoCave.txt,GroupIndex,Echo Cave data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Eld.txt,GroupIndex,Eld data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldCem01.txt,GroupIndex,Eld Cem 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldCem02.txt,GroupIndex,Eld Cem 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldFor01.txt,GroupIndex,Eld For 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldGbl01.txt,GroupIndex,Eld Gbl 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldGbl02.txt,GroupIndex,Eld Gbl 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldPri01.txt,GroupIndex,Eld Pri 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldPri02.txt,GroupIndex,Eld Pri 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldPriDn01.txt,GroupIndex,Eld Pri Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldPriDn02.txt,GroupIndex,Eld Pri Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/EldSleep01.txt,GroupIndex,Eld Sleep 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/ElfDn01.txt,GroupIndex,Elf Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/ElfDn02.txt,GroupIndex,Elf Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Fbattle01.txt,GroupIndex,Fbattle 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Fbattle02.txt,GroupIndex,Fbattle 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Fbattle03.txt,GroupIndex,Fbattle 03 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/FireDn01.txt,GroupIndex,Fire Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/FireDn02.txt,GroupIndex,Fire Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/ForDn01.txt,GroupIndex,For Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/ForDn02.txt,GroupIndex,For Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GBHouse.txt,GroupIndex,house/estate system,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GblDn01.txt,GroupIndex,Gbl Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GblDn02.txt,GroupIndex,Gbl Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GoldCave.txt,GroupIndex,Gold Cave data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GuildT0400.txt,GroupIndex,guild rules/data,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GuildT0401.txt,GroupIndex,guild rules/data,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GuildT0402.txt,GroupIndex,guild rules/data,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GuildT0403.txt,GroupIndex,guild rules/data,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GuildT0404.txt,GroupIndex,guild rules/data,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GuildT0405.txt,GroupIndex,guild rules/data,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GuildT0406.txt,GroupIndex,guild rules/data,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/GuildT0407.txt,GroupIndex,guild rules/data,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/AdlF.txt,GroupIndex,Adl F data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/AdlFH.txt,GroupIndex,Adl FH data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/Leviathan.txt,GroupIndex,Leviathan data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/Siren.txt,GroupIndex,Siren data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/Tower01.txt,GroupIndex,Tower 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/Tower02.txt,GroupIndex,Tower 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/Tower03.txt,GroupIndex,Tower 03 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/UrgDragon.txt,GroupIndex,Urg Dragon data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/Instant/WarN.txt,GroupIndex,War N data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KDHBat1.txt,GroupIndex,KDHBat 1 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/Job2_Dn01.txt,GroupIndex,Job 2 Dn 01 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/Job2_Dn02.txt,GroupIndex,Job 2 Dn 02 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDAntiHenis.txt,GroupIndex,KDAnti Henis data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDEchoCave.txt,GroupIndex,KDEcho Cave data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDEddyHill(old).txt,GroupIndex,KDEddy Hill(old) data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDEddyHill.txt,GroupIndex,KDEddy Hill data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDEnMaze.txt,GroupIndex,KDEn Maze data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDFargels.txt,GroupIndex,KDFargels data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDGoldHill(Making).txt,GroupIndex,KDGold Hill(Making) data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDGoldHill.txt,GroupIndex,KDGold Hill data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDGreenHill.txt,GroupIndex,KDGreen Hill data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDHBat1.txt,GroupIndex,KDHBat 1 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDHDragon.txt,GroupIndex,KDHDragon data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDHero.txt,GroupIndex,KDHero data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDHoneying.txt,GroupIndex,KDHoneying data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDKingkong.txt,GroupIndex,KDKingkong data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDKingkong2.txt,GroupIndex,KDKingkong 2 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDKingkong3.txt,GroupIndex,KDKingkong 3 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDMDragon.txt,GroupIndex,KDMDragon data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDPrtShip.txt,GroupIndex,KDPrt Ship data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDRockCan.txt,GroupIndex,KDRock Can data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDSoccer_W.txt,GroupIndex,KDSoccer W data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDSpider.txt,GroupIndex,KDSpider data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDTrDn.txt,GroupIndex,KDTr Dn data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDUnHall.txt,GroupIndex,KDUn Hall data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDUnHall2.txt,GroupIndex,KDUn Hall 2 data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KDVictor.txt,GroupIndex,KDVictor data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KD_Kingkong.txt,GroupIndex,KD Kingkong data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
MobRegen/KingdomQuest/KQ_HONEYING.txt,GroupIndex,Kingdom Quest HONEYING data/configuration,Often groups multiple rows together under one table-specific group key.,,Medium
